onset	duration	trial_type	response_time	stim_file
7.609748	12	novel	1.855	fractals_experiment/greys/j6099.jpeg
25.07545	12	trained_nonseq	1.332	fractals_experiment/reds/j3112.jpeg
44.52387	12	trained_inseq	2.036	fractals_experiment/pinks/j2031.jpeg
63.07339	8	trained_nonseq	1.326	fractals_experiment/greens/j6137.jpeg
75.32292	12	trained_nonseq	1.724	fractals_experiment/cyans/j4053.jpeg
93.17149	4	trained_inseq	1.653	fractals_experiment/yellows/j1132.jpeg
104.5212	8	novel	1.706	fractals_experiment/purples/j1130.jpeg
122.9701	8	trained_inseq	1.608	fractals_experiment/reds/j10153.jpeg
140.6123	8	novel	1.687	fractals_experiment/cyans/j4139.jpeg
156.9613	8	trained_inseq	1.689	fractals_experiment/greys/j5125.jpeg
169.4172	4	trained_inseq	1.883	fractals_experiment/browns/j9058.jpeg
182.4666	12	novel	1.051	fractals_experiment/greens/j2102.jpeg
198.5157	12	trained_inseq	2.292	fractals_experiment/pinks/j7028.jpeg
217.3582	8	trained_inseq	1.266	fractals_experiment/cyans/j5086.jpeg
233.7971	4	trained_inseq	2.235	fractals_experiment/greens/j4115.jpeg
244.9464	4	novel	1.116	fractals_experiment/pinks/j1072.jpeg
257.1894	12	trained_inseq	1.524	fractals_experiment/blues/j5081.jpeg
278.9378	4	novel	1.226	fractals_experiment/browns/j5062.jpeg
289.6779	4	trained_nonseq	1.782	fractals_experiment/blues/j7053.jpeg
297.9273	8	trained_nonseq	1.476	fractals_experiment/greys/j7127.jpeg
313.7698	4	trained_inseq	2.22	fractals_experiment/purples/j5024.jpeg
325.5089	8	trained_inseq	1.945	fractals_experiment/yellows/j5099.jpeg
342.5517	12	trained_inseq	1.219	fractals_experiment/browns/j9155.jpeg
358.9006	4	trained_nonseq	1.579	fractals_experiment/purples/j1033.jpeg
