onset	duration	trial_type	response_time	stim_file
5.7132819999999995	12	trained_inseq	0.727	fractals_experiment/blues/j1004.jpeg
21.87896	4	novel	1.896	fractals_experiment/greens/j5145.jpeg
30.54505	12	novel	1.601	fractals_experiment/cyans/j10042.jpeg
49.81068	4	trained_nonseq	1.535	fractals_experiment/pinks/j8014.jpeg
59.576840000000004	12	trained_nonseq	1.68	fractals_experiment/greys/j2106.jpeg
78.64248	8	trained_nonseq	0.902	fractals_experiment/purples/j3094.jpeg
98.12485	12	trained_inseq	0.73	fractals_experiment/greys/j10148.jpeg
116.6075	12	trained_inseq	1.101	fractals_experiment/pinks/j2154.jpeg
139.2722	8	trained_inseq	0.688	fractals_experiment/reds/j2003.jpeg
152.7555	8	trained_inseq	1.699	fractals_experiment/cyans/j2132.jpeg
165.2382	12	novel	1.877	fractals_experiment/pinks/j10124.jpeg
186.3034	12	trained_inseq	1.827	fractals_experiment/yellows/j10075.jpeg
205.1693	8	trained_inseq	1.051	fractals_experiment/cyans/j7082.jpeg
220.5352	4	trained_inseq	2.455	fractals_experiment/purples/j7095.jpeg
234.9175	4	trained_inseq	0.992	fractals_experiment/browns/j9039.jpeg
249.5837	4	trained_inseq	0.86	fractals_experiment/greens/j6098.jpeg
261.5661	4	trained_nonseq	0.645	fractals_experiment/reds/j2059.jpeg
273.9323	12	trained_nonseq	1.047	fractals_experiment/browns/j10004.jpeg
290.1146	8	novel	0.69	fractals_experiment/blues/j7011.jpeg
303.9804	8	trained_inseq	1.695	fractals_experiment/yellows/j9081.jpeg
319.7464	8	novel	2.254	fractals_experiment/blues/j8044.jpeg
332.4123	8	trained_nonseq	1.186	fractals_experiment/greens/j2093.jpeg
350.8946	4	trained_inseq	1.996	fractals_experiment/blues/j2153.jpeg
359.2775	4	novel	2.19	fractals_experiment/blues/j9080.jpeg
