	onset	duration	trial_type	response_time	stim_file
0	8.716417999999999	12	trained_inseq	1.626	fractals_experiment/blues/j5081.jpeg
1	26.79927	8	trained_inseq	1.762	fractals_experiment/greens/j4115.jpeg
2	38.96567	12	trained_inseq	1.294	fractals_experiment/reds/j10153.jpeg
3	56.93099	8	novel	1.185	fractals_experiment/blues/j8103.jpeg
4	72.69665	12	trained_nonseq	1.116	fractals_experiment/blues/j7053.jpeg
5	91.36249000000001	8	novel	1.201	fractals_experiment/browns/j8150.jpeg
6	110.6277	8	trained_inseq	0.95	fractals_experiment/greys/j5125.jpeg
7	128.1937	4	trained_inseq	1.832	fractals_experiment/yellows/j5099.jpeg
8	136.4596	4	novel	1.163	fractals_experiment/purples/j2139.jpeg
9	144.6263	12	trained_inseq	1.814	fractals_experiment/browns/j9058.jpeg
10	161.9917	12	trained_inseq	1.94	fractals_experiment/purples/j5024.jpeg
11	180.8581	12	novel	2.082	fractals_experiment/purples/j8124.jpeg
12	197.0236	4	trained_inseq	1.49	fractals_experiment/browns/j9155.jpeg
13	207.2896	4	novel	2.071	fractals_experiment/browns/j2123.jpeg
14	217.7556	4	trained_nonseq	1.354	fractals_experiment/reds/j3112.jpeg
15	233.0211	8	trained_nonseq	1.662	fractals_experiment/greys/j7127.jpeg
16	251.7872	4	trained_nonseq	1.751	fractals_experiment/greens/j6137.jpeg
17	260.8537	8	trained_inseq	1.283	fractals_experiment/pinks/j7028.jpeg
18	277.8187	12	trained_nonseq	1.985	fractals_experiment/cyans/j4053.jpeg
19	297.0848	4	trained_inseq	9999.0	fractals_experiment/yellows/j1132.jpeg
20	309.5509	12	novel	1.779	fractals_experiment/browns/j1019.jpeg
21	329.8327	4	trained_inseq	1.251	fractals_experiment/cyans/j5086.jpeg
22	338.3997	8	trained_nonseq	1.725	fractals_experiment/purples/j1033.jpeg
23	355.165	8	trained_inseq	1.456	fractals_experiment/pinks/j2031.jpeg
