	onset	duration	trial_type	response_time	stim_file
0	6.7368380000000005	4	novel	1.573	fractals_experiment/browns/j8150.jpeg
1	18.61983	8	trained_inseq	1.479	fractals_experiment/reds/j10153.jpeg
2	33.40185	4	trained_inseq	1.1	fractals_experiment/greys/j5125.jpeg
3	43.66813	12	trained_nonseq	1.738	fractals_experiment/cyans/j4053.jpeg
4	60.63405	8	trained_inseq	2.064	fractals_experiment/blues/j5081.jpeg
5	73.31651	8	trained_nonseq	2.121	fractals_experiment/blues/j7053.jpeg
6	92.38214	12	novel	1.763	fractals_experiment/purples/j2139.jpeg
7	112.2644	4	trained_inseq	1.779	fractals_experiment/greens/j4115.jpeg
8	122.5307	4	trained_nonseq	1.754	fractals_experiment/greens/j6137.jpeg
9	133.8127	12	trained_inseq	1.876	fractals_experiment/pinks/j2031.jpeg
10	151.5789	12	trained_inseq	1.741	fractals_experiment/cyans/j5086.jpeg
11	168.2447	8	trained_inseq	2.2	fractals_experiment/browns/j9058.jpeg
12	188.4102	8	novel	1.133	fractals_experiment/blues/j8103.jpeg
13	205.2762	8	novel	1.08	fractals_experiment/browns/j2123.jpeg
14	220.1419	4	trained_nonseq	1.509	fractals_experiment/greys/j7127.jpeg
15	231.6077	4	trained_inseq	1.764	fractals_experiment/browns/j9155.jpeg
16	242.8738	8	trained_inseq	1.12	fractals_experiment/yellows/j5099.jpeg
17	259.2398	12	trained_inseq	1.815	fractals_experiment/yellows/j1132.jpeg
18	281.0059	12	trained_inseq	1.031	fractals_experiment/purples/j5024.jpeg
19	300.6872	4	trained_inseq	1.122	fractals_experiment/pinks/j7028.jpeg
20	311.0538	12	trained_nonseq	1.11	fractals_experiment/purples/j1033.jpeg
21	329.4197	4	novel	1.67	fractals_experiment/purples/j8124.jpeg
22	338.2024	8	trained_nonseq	1.359	fractals_experiment/reds/j3112.jpeg
23	351.4682	12	novel	1.333	fractals_experiment/browns/j1019.jpeg
