	onset	duration	trial_type	response_time	stim_file
0	7.808491	8	novel	0.993	fractals_experiment/purples/j8124.jpeg
1	24.47406	4	novel	1.253	fractals_experiment/browns/j8150.jpeg
2	38.23999	8	trained_inseq	1.536	fractals_experiment/yellows/j5099.jpeg
3	54.2062	4	trained_nonseq	0.91	fractals_experiment/cyans/j4053.jpeg
4	62.372330000000005	12	trained_nonseq	1.509	fractals_experiment/greens/j6137.jpeg
5	83.45454000000001	4	trained_inseq	1.596	fractals_experiment/pinks/j2031.jpeg
6	97.22051	12	novel	1.018	fractals_experiment/blues/j8103.jpeg
7	115.7856	12	trained_inseq	1.839	fractals_experiment/cyans/j5086.jpeg
8	131.9516	12	novel	1.517	fractals_experiment/browns/j2123.jpeg
9	148.1176	8	trained_nonseq	1.413	fractals_experiment/purples/j1033.jpeg
10	166.3832	8	trained_nonseq	1.209	fractals_experiment/greys/j7127.jpeg
11	181.049	8	novel	1.334	fractals_experiment/purples/j2139.jpeg
12	199.1145	4	trained_inseq	1.388	fractals_experiment/pinks/j7028.jpeg
13	208.6809	4	novel	1.284	fractals_experiment/browns/j1019.jpeg
14	220.9469	8	trained_inseq	1.652	fractals_experiment/browns/j9058.jpeg
15	237.8127	12	trained_inseq	1.333	fractals_experiment/reds/j10153.jpeg
16	257.8785	4	trained_inseq	1.68	fractals_experiment/greys/j5125.jpeg
17	269.6443	4	trained_nonseq	1.178	fractals_experiment/reds/j3112.jpeg
18	279.8105	12	trained_inseq	1.846	fractals_experiment/blues/j5081.jpeg
19	301.376	8	trained_inseq	1.505	fractals_experiment/greens/j4115.jpeg
20	313.4587	12	trained_nonseq	1.101	fractals_experiment/blues/j7053.jpeg
21	329.9245	4	trained_inseq	1.603	fractals_experiment/purples/j5024.jpeg
22	338.5907	8	trained_inseq	1.39	fractals_experiment/yellows/j1132.jpeg
23	351.1562	12	trained_inseq	2.205	fractals_experiment/browns/j9155.jpeg
