onset	duration	trial_type	response_time	stim_file
8.4000	1.9500	NonSeq-ToB	0.8857	tools/hairdrier/094b.jpg
10.7500	1.9500	NonSeq-5	0.6358	fractals_experiment/blues/j10051.jpeg
13.1000	1.9500	Seq-3-1-OS	0.6868	fractals_experiment/reds/j5085.jpeg
15.4500	1.9500	Seq-2-4-AnB-OS	0.5946	animals/crab/133b.jpg
17.8000	1.9500	NonSeq-6	1.4419	fractals_experiment/yellows/j4081.jpeg
20.1500	1.9500	Seq-3-4-ToB-OS	0.6178	tools/faucet/031b.jpg
22.5000	1.9500	Seq-4-2-OS	0.6830	fractals_experiment/purples/j4110.jpeg
24.8500	1.9500	NonSeq-1	1.1034	fractals_experiment/browns/j10032.jpeg
27.2000	1.9500	Seq-1-4-AnA-OS	1.6782	animals/fox/024a.jpg
29.5500	1.9500	Seq-2-2-OS	0.6468	fractals_experiment/blues/j5130.jpeg
31.9000	1.9500	Seq-3-2-OS	0.6238	fractals_experiment/greys/j8118.jpeg
34.2500	1.9500	NonSeq-2	0.6977	fractals_experiment/purples/j4125.jpeg
36.6000	1.9500	Seq-4-3-OS	0.5541	fractals_experiment/browns/j5075.jpeg
38.9500	1.9500	Seq-4-4-ToB-OS	0.4138	tools/megaphone/059b.jpg
41.3000	1.9500	NonSeq-3	0.6301	fractals_experiment/greys/j4029.jpeg
43.6500	1.9500	Seq-4-1-OS	0.5354	fractals_experiment/cyans/j6127.jpeg
46.0000	1.9500	Seq-1-1-OS	0.5934	fractals_experiment/yellows/j5118.jpeg
48.3500	1.9500	Seq-1-3-OS	0.6742	fractals_experiment/reds/j8091.jpeg
50.7000	1.9500	NonSeq-4	0.7867	fractals_experiment/greens/j2082.jpeg
53.0500	1.9500	Seq-2-3-OS	0.7504	fractals_experiment/greens/j6092.jpeg
55.4000	1.9500	Seq-3-3-OS	0.9584	fractals_experiment/pinks/j2137.jpeg
57.7500	1.9500	Seq-2-1-OS	0.6270	fractals_experiment/pinks/j7144.jpeg
60.1000	1.9500	NonSeq-AnB	0.6753	animals/frog/117a.jpg
62.4500	1.9500	Seq-1-2-OS	0.5810	fractals_experiment/cyans/j8009.jpeg
64.8000	1.9500	Seq-2-3-OS	0.8895	fractals_experiment/greens/j6092.jpeg
67.1500	1.9500	Seq-1-1-OS	0.5735	fractals_experiment/yellows/j5118.jpeg
69.5000	1.9500	Seq-2-4-AnA-OS	0.7835	animals/crab/1.28_crab2.jpg
71.8500	1.9500	Seq-3-2-OS	0.5562	fractals_experiment/greys/j8118.jpeg
74.2000	1.9500	NonSeq-ToA	0.6935	tools/hairdrier/072a.jpg
76.5500	1.9500	NonSeq-2	0.5255	fractals_experiment/purples/j4125.jpeg
78.9000	1.9500	Seq-4-4-ToA-OS	0.5934	tools/megaphone/059a.jpg
81.2500	1.9500	Seq-3-4-ToA-OS	0.5321	tools/faucet/031a.jpg
83.6000	1.9500	NonSeq-4	0.5752	fractals_experiment/greens/j2082.jpeg
85.9500	1.9500	NonSeq-AnA	0.9325	animals/frog/1.59_frog1.jpg
88.3000	1.9500	Seq-3-1-OS	0.5041	fractals_experiment/reds/j5085.jpeg
90.6500	1.9500	Seq-1-4-AnB-OS	0.7947	animals/fox/024b.jpg
93.0000	1.9500	Seq-4-3-OS	0.5298	fractals_experiment/browns/j5075.jpeg
95.3500	1.9500	Seq-2-2-OS	1.3922	fractals_experiment/blues/j5130.jpeg
97.7000	1.9500	Seq-4-1-OS	0.8189	fractals_experiment/cyans/j6127.jpeg
100.0500	1.9500	Seq-1-3-OS	0.5744	fractals_experiment/reds/j8091.jpeg
102.4000	1.9500	NonSeq-1	0.7004	fractals_experiment/browns/j10032.jpeg
104.7500	1.9500	Seq-3-3-OS	0.6047	fractals_experiment/pinks/j2137.jpeg
107.1000	1.9500	NonSeq-3	0.5123	fractals_experiment/greys/j4029.jpeg
109.4500	1.9500	Seq-4-2-OS	0.7539	fractals_experiment/purples/j4110.jpeg
111.8000	1.9500	NonSeq-5	0.6904	fractals_experiment/blues/j10051.jpeg
114.1500	1.9500	Seq-1-2-OS	0.6895	fractals_experiment/cyans/j8009.jpeg
116.5000	1.9500	Seq-2-1-OS	0.6215	fractals_experiment/pinks/j7144.jpeg
118.8500	1.9500	NonSeq-6	0.7668	fractals_experiment/yellows/j4081.jpeg
121.2000	1.9500	Seq-4-4-ToB-OS	1.4134	tools/megaphone/059b.jpg
123.5500	1.9500	Seq-2-1-IS	0.6019	fractals_experiment/pinks/j7144.jpeg
125.9000	1.9500	Seq-2-2-IS	0.6687	fractals_experiment/blues/j5130.jpeg
128.2500	1.9500	Seq-2-3-IS	0.3435	fractals_experiment/greens/j6092.jpeg
130.6000	1.9500	Seq-2-4-AnA-IS	0.2546	animals/crab/1.28_crab2.jpg
132.9500	1.9500	NonSeq-1	0.5249	fractals_experiment/browns/j10032.jpeg
135.3000	1.9500	NonSeq-ToB	0.6009	tools/hairdrier/094b.jpg
137.6500	1.9500	Seq-4-2-OS	0.6203	fractals_experiment/purples/j4110.jpeg
140.0000	1.9500	Seq-3-1-IS	0.4638	fractals_experiment/reds/j5085.jpeg
142.3500	1.9500	Seq-3-2-IS	0.5997	fractals_experiment/greys/j8118.jpeg
144.7000	1.9500	Seq-3-3-IS	0.6815	fractals_experiment/pinks/j2137.jpeg
147.0500	1.9500	Seq-3-4-ToA-IS	0.5256	tools/faucet/031a.jpg
149.4000	1.9500	Seq-4-3-OS	0.5075	fractals_experiment/browns/j5075.jpeg
151.7500	1.9500	Seq-1-1-IS	0.5587	fractals_experiment/yellows/j5118.jpeg
154.1000	1.9500	Seq-1-2-IS	0.5534	fractals_experiment/cyans/j8009.jpeg
156.4500	1.9500	Seq-1-3-IS	0.1139	fractals_experiment/reds/j8091.jpeg
158.8000	1.9500	Seq-1-4-AnB-IS	0.1119	animals/fox/024b.jpg
161.1500	1.9500	NonSeq-4	0.5686	fractals_experiment/greens/j2082.jpeg
163.5000	1.9500	NonSeq-5	0.5594	fractals_experiment/blues/j10051.jpeg
165.8500	1.9500	Seq-4-1-OS	0.5505	fractals_experiment/cyans/j6127.jpeg
168.2000	1.9500	NonSeq-3	0.6096	fractals_experiment/greys/j4029.jpeg
170.5500	1.9500	NonSeq-AnB	0.7669	animals/frog/117a.jpg
172.9000	1.9500	NonSeq-2	0.5314	fractals_experiment/purples/j4125.jpeg
175.2500	1.9500	NonSeq-6	0.5249	fractals_experiment/yellows/j4081.jpeg
177.6000	1.9500	Seq-2-1-IS	0.5209	fractals_experiment/pinks/j7144.jpeg
179.9500	1.9500	Seq-2-2-IS	0.4493	fractals_experiment/blues/j5130.jpeg
182.3000	1.9500	Seq-2-3-IS	0.0955	fractals_experiment/greens/j6092.jpeg
184.6500	1.9500	Seq-2-4-AnB-IS	0.2573	animals/crab/133b.jpg
187.0000	1.9500	Seq-4-2-OS	0.5408	fractals_experiment/purples/j4110.jpeg
189.3500	1.9500	Seq-3-1-IS	0.5189	fractals_experiment/reds/j5085.jpeg
191.7000	1.9500	Seq-3-2-IS	0.5778	fractals_experiment/greys/j8118.jpeg
194.0500	1.9500	Seq-3-3-IS	0.5362	fractals_experiment/pinks/j2137.jpeg
196.4000	1.9500	Seq-3-4-ToB-IS	0.2667	tools/faucet/031b.jpg
198.7500	1.9500	NonSeq-2	0.5861	fractals_experiment/purples/j4125.jpeg
201.1000	1.9500	Seq-4-4-ToA-OS	0.7183	tools/megaphone/059a.jpg
203.4500	1.9500	NonSeq-5	0.5831	fractals_experiment/blues/j10051.jpeg
205.8000	1.9500	Seq-1-1-IS	0.5413	fractals_experiment/yellows/j5118.jpeg
208.1500	1.9500	Seq-1-2-IS	0.2809	fractals_experiment/cyans/j8009.jpeg
210.5000	1.9500	Seq-1-3-IS	0.2547	fractals_experiment/reds/j8091.jpeg
212.8500	1.9500	Seq-1-4-AnA-IS	0.2547	animals/fox/024a.jpg
215.2000	1.9500	Seq-4-3-OS	0.5050	fractals_experiment/browns/j5075.jpeg
217.5500	1.9500	NonSeq-3	0.6486	fractals_experiment/greys/j4029.jpeg
219.9000	1.9500	NonSeq-AnA	0.8357	animals/frog/1.59_frog1.jpg
222.2500	1.9500	NonSeq-1	0.5250	fractals_experiment/browns/j10032.jpeg
224.6000	1.9500	NonSeq-6	0.7574	fractals_experiment/yellows/j4081.jpeg
226.9500	1.9500	NonSeq-ToA	0.4821	tools/hairdrier/072a.jpg
229.3000	1.9500	NonSeq-4	1.4605	fractals_experiment/greens/j2082.jpeg
231.6500	1.9500	Seq-4-1-OS	0.5407	fractals_experiment/cyans/j6127.jpeg
234.0000	1.9500	Seq-3-3-OS	0.5404	fractals_experiment/pinks/j2137.jpeg
236.3500	1.9500	Seq-4-1-IS	0.6169	fractals_experiment/cyans/j6127.jpeg
238.7000	1.9500	Seq-4-2-IS	0.5129	fractals_experiment/purples/j4110.jpeg
241.0500	1.9500	Seq-4-3-IS	0.5780	fractals_experiment/browns/j5075.jpeg
