onset	duration	trial_type	response_time	stim_file
8.4000	1.9500	Seq-4-4-ToolA-OutSeq	1.0911	tools/wateringcan/042a.jpg
10.7500	1.9500	NonSeq-6	0.7290	fractals_experiment/greys/j7127.jpeg
13.1000	1.9500	Seq-2-1-InSeq	0.5165	fractals_experiment/pinks/j7028.jpeg
15.4500	1.9500	Seq-2-2-InSeq	0.3618	fractals_experiment/greens/j4115.jpeg
17.8000	1.9500	Seq-2-N3-InSeq	0.3280	fractals_secondround/reds/i3022.jpeg
20.1500	1.9500	Seq-2-N4-InSeq	0.5138	fractals_secondround/purples/i8016.jpeg
22.5000	1.9500	Seq-2-3-InSeq	0.2738	fractals_experiment/yellows/j1132.jpeg
24.8500	1.9500	Seq-2-4-AnimalB-InSeq	0.1540	animals/giraffe/giraffe.jpg
27.2000	1.9500	Seq-4-1-OutSeq	0.6000	fractals_experiment/purples/j5024.jpeg
29.5500	1.9500	NonSeq-3	0.6101	fractals_experiment/greens/j6137.jpeg
31.9000	1.9500	NonSeq-ToolB	0.5374	tools/eggbeater/187b.jpg
34.2500	1.9500	NonSeq-N7	0.5304	fractals_secondround/yellows/i3034.jpeg
36.6000	1.9500	Seq-4-3-OutSeq	0.6078	fractals_experiment/greys/j5125.jpeg
38.9500	1.9500	Seq-1-1-InSeq	0.6217	fractals_experiment/browns/j9058.jpeg
41.3000	1.9500	Seq-1-2-InSeq	0.4287	fractals_experiment/yellows/j5099.jpeg
43.6500	1.9500	Seq-1-N3-InSeq	0.7676	fractals_secondround/cyans/i9016.jpeg
46.0000	1.9500	Seq-1-N4-InSeq	0.5794	fractals_secondround/greens/i6004.jpeg
48.3500	1.9500	Seq-1-3-InSeq	0.5637	fractals_experiment/pinks/j2031.jpeg
50.7000	1.9500	Seq-1-4-AnimalB-InSeq	0.1751	animals/tiger/whitetiger.jpg
53.0500	1.9500	NonSeq-2	0.8835	fractals_experiment/reds/j3112.jpeg
55.4000	1.9500	NonSeq-N8	0.6413	fractals_secondround/browns/i4028.jpeg
