onset	duration	trial_type	response_time	stim_file
8.4000	1.9500	Seq-1-1-IS	0.6171	fractals_experiment/yellows/j5118.jpeg
10.7500	1.9500	Seq-1-2-IS	0.5974	fractals_experiment/cyans/j8009.jpeg
13.1000	1.9500	Seq-1-3-IS	0.3420	fractals_experiment/reds/j8091.jpeg
15.4500	1.9500	Seq-1-4-AnB-IS	0.4654	animals/fox/024b.jpg
17.8000	1.9500	Seq-2-1-OS	0.5423	fractals_experiment/pinks/j7144.jpeg
20.1500	1.9500	Seq-3-1-IS	0.5744	fractals_experiment/reds/j5085.jpeg
22.5000	1.9500	Seq-3-2-IS	0.6075	fractals_experiment/greys/j8118.jpeg
24.8500	1.9500	Seq-3-3-IS	0.2877	fractals_experiment/pinks/j2137.jpeg
27.2000	1.9500	Seq-3-4-ToB-IS	0.1817	tools/faucet/031b.jpg
29.5500	1.9500	Seq-4-1-IS	0.6186	fractals_experiment/cyans/j6127.jpeg
31.9000	1.9500	Seq-4-2-IS	0.5618	fractals_experiment/purples/j4110.jpeg
34.2500	1.9500	Seq-4-3-IS	0.5630	fractals_experiment/browns/j5075.jpeg
36.6000	1.9500	Seq-4-4-ToA-IS	0.2809	tools/megaphone/059a.jpg
38.9500	1.9500	Seq-2-2-OS	0.5886	fractals_experiment/blues/j5130.jpeg
41.3000	1.9500	NonSeq-2	0.5641	fractals_experiment/purples/j4125.jpeg
43.6500	1.9500	NonSeq-1	0.8905	fractals_experiment/browns/j10032.jpeg
46.0000	1.9500	NonSeq-6	0.5570	fractals_experiment/yellows/j4081.jpeg
48.3500	1.9500	NonSeq-AnB	0.5333	animals/frog/117a.jpg
50.7000	1.9500	NonSeq-3	0.6649	fractals_experiment/greys/j4029.jpeg
53.0500	1.9500	Seq-2-3-OS	0.6414	fractals_experiment/greens/j6092.jpeg
55.4000	1.9500	NonSeq-5	0.6680	fractals_experiment/blues/j10051.jpeg
57.7500	1.9500	NonSeq-ToB	0.5789	tools/hairdrier/094b.jpg
60.1000	1.9500	NonSeq-4	0.5973	fractals_experiment/greens/j2082.jpeg
62.4500	1.9500	Seq-2-4-AnA-OS	0.5695	animals/crab/1.28_crab2.jpg
64.8000	1.9500	NonSeq-6	0.7778	fractals_experiment/yellows/j4081.jpeg
67.1500	1.9500	Seq-4-1-IS	0.6400	fractals_experiment/cyans/j6127.jpeg
69.5000	1.9500	Seq-4-2-IS	0.6674	fractals_experiment/purples/j4110.jpeg
71.8500	1.9500	Seq-4-3-IS	0.5698	fractals_experiment/browns/j5075.jpeg
74.2000	1.9500	Seq-4-4-ToB-IS	0.4371	tools/megaphone/059b.jpg
76.5500	1.9500	Seq-1-1-IS	0.5956	fractals_experiment/yellows/j5118.jpeg
78.9000	1.9500	Seq-1-2-IS	0.5185	fractals_experiment/cyans/j8009.jpeg
81.2500	1.9500	Seq-1-3-IS	0.3469	fractals_experiment/reds/j8091.jpeg
83.6000	1.9500	Seq-1-4-AnA-IS	0.4067	animals/fox/024a.jpg
85.9500	1.9500	Seq-2-2-OS	0.6648	fractals_experiment/blues/j5130.jpeg
88.3000	1.9500	NonSeq-2	0.6140	fractals_experiment/purples/j4125.jpeg
90.6500	1.9500	NonSeq-1	0.5345	fractals_experiment/browns/j10032.jpeg
93.0000	1.9500	NonSeq-3	0.5470	fractals_experiment/greys/j4029.jpeg
95.3500	1.9500	NonSeq-4	0.5119	fractals_experiment/greens/j2082.jpeg
97.7000	1.9500	Seq-2-4-AnB-OS	0.5438	animals/crab/133b.jpg
100.0500	1.9500	Seq-3-1-IS	0.6126	fractals_experiment/reds/j5085.jpeg
102.4000	1.9500	Seq-3-2-IS	0.5556	fractals_experiment/greys/j8118.jpeg
104.7500	1.9500	Seq-3-3-IS	0.4706	fractals_experiment/pinks/j2137.jpeg
107.1000	1.9500	Seq-3-4-ToA-IS	0.4100	tools/faucet/031a.jpg
109.4500	1.9500	Seq-2-3-OS	0.5682	fractals_experiment/greens/j6092.jpeg
111.8000	1.9500	NonSeq-ToA	0.5615	tools/hairdrier/072a.jpg
114.1500	1.9500	NonSeq-5	0.5306	fractals_experiment/blues/j10051.jpeg
116.5000	1.9500	NonSeq-AnA	0.4981	animals/frog/1.59_frog1.jpg
118.8500	1.9500	Seq-2-1-OS	0.5541	fractals_experiment/pinks/j7144.jpeg
121.2000	1.9500	Seq-1-1-IS	0.6511	fractals_experiment/yellows/j5118.jpeg
123.5500	1.9500	Seq-1-2-IS	0.2345	fractals_experiment/cyans/j8009.jpeg
125.9000	1.9500	Seq-1-3-IS	0.0789	fractals_experiment/reds/j8091.jpeg
128.2500	1.9500	Seq-1-4-AnB-IS	0.2291	animals/fox/024b.jpg
130.6000	1.9500	Seq-3-1-IS	0.5883	fractals_experiment/reds/j5085.jpeg
132.9500	1.9500	Seq-3-2-IS	0.5155	fractals_experiment/greys/j8118.jpeg
135.3000	1.9500	Seq-3-3-IS	0.5017	fractals_experiment/pinks/j2137.jpeg
137.6500	1.9500	Seq-3-4-ToA-IS	0.4539	tools/faucet/031a.jpg
140.0000	1.9500	Seq-2-4-AnB-OS	0.5682	animals/crab/133b.jpg
142.3500	1.9500	Seq-4-1-IS	0.5802	fractals_experiment/cyans/j6127.jpeg
144.7000	1.9500	Seq-4-2-IS	0.5725	fractals_experiment/purples/j4110.jpeg
147.0500	1.9500	Seq-4-3-IS	0.5201	fractals_experiment/browns/j5075.jpeg
149.4000	1.9500	Seq-4-4-ToA-IS	0.7856	tools/megaphone/059a.jpg
151.7500	1.9500	NonSeq-5	0.6047	fractals_experiment/blues/j10051.jpeg
154.1000	1.9500	NonSeq-AnB	0.7827	animals/frog/117a.jpg
156.4500	1.9500	Seq-2-3-OS	0.6073	fractals_experiment/greens/j6092.jpeg
158.8000	1.9500	NonSeq-3	0.6291	fractals_experiment/greys/j4029.jpeg
161.1500	1.9500	NonSeq-4	0.8027	fractals_experiment/greens/j2082.jpeg
163.5000	1.9500	NonSeq-1	0.6318	fractals_experiment/browns/j10032.jpeg
165.8500	1.9500	Seq-2-1-OS	0.5949	fractals_experiment/pinks/j7144.jpeg
168.2000	1.9500	NonSeq-ToA	0.7286	tools/hairdrier/072a.jpg
170.5500	1.9500	NonSeq-6	0.5493	fractals_experiment/yellows/j4081.jpeg
172.9000	1.9500	NonSeq-2	0.5719	fractals_experiment/purples/j4125.jpeg
175.2500	1.9500	Seq-2-2-OS	0.5510	fractals_experiment/blues/j5130.jpeg
177.6000	1.9500	Seq-4-1-IS	0.5680	fractals_experiment/cyans/j6127.jpeg
179.9500	1.9500	Seq-4-2-IS	0.5082	fractals_experiment/purples/j4110.jpeg
182.3000	1.9500	Seq-4-3-IS	0.5161	fractals_experiment/browns/j5075.jpeg
184.6500	1.9500	Seq-4-4-ToB-IS	0.5400	tools/megaphone/059b.jpg
187.0000	1.9500	NonSeq-4	0.5745	fractals_experiment/greens/j2082.jpeg
189.3500	1.9500	Seq-1-1-IS	0.5818	fractals_experiment/yellows/j5118.jpeg
191.7000	1.9500	Seq-1-2-IS	0.3902	fractals_experiment/cyans/j8009.jpeg
194.0500	1.9500	Seq-1-3-IS	0.2729	fractals_experiment/reds/j8091.jpeg
196.4000	1.9500	Seq-1-4-AnA-IS	0.3899	animals/fox/024a.jpg
198.7500	1.9500	NonSeq-5	0.5968	fractals_experiment/blues/j10051.jpeg
201.1000	1.9500	Seq-2-3-OS	0.6011	fractals_experiment/greens/j6092.jpeg
203.4500	1.9500	Seq-3-1-IS	0.5321	fractals_experiment/reds/j5085.jpeg
205.8000	1.9500	Seq-3-2-IS	0.5314	fractals_experiment/greys/j8118.jpeg
208.1500	1.9500	Seq-3-3-IS	0.4584	fractals_experiment/pinks/j2137.jpeg
210.5000	1.9500	Seq-3-4-ToB-IS	0.4915	tools/faucet/031b.jpg
212.8500	1.9500	Seq-2-4-AnA-OS	0.5155	animals/crab/1.28_crab2.jpg
215.2000	1.9500	NonSeq-ToB	0.6423	tools/hairdrier/094b.jpg
217.5500	1.9500	NonSeq-6	0.6228	fractals_experiment/yellows/j4081.jpeg
219.9000	1.9500	NonSeq-2	0.5708	fractals_experiment/purples/j4125.jpeg
222.2500	1.9500	Seq-2-1-OS	0.5382	fractals_experiment/pinks/j7144.jpeg
224.6000	1.9500	NonSeq-1	0.4477	fractals_experiment/browns/j10032.jpeg
226.9500	1.9500	NonSeq-3	0.6990	fractals_experiment/greys/j4029.jpeg
229.3000	1.9500	NonSeq-AnA	0.5658	animals/frog/1.59_frog1.jpg
231.6500	1.9500	Seq-2-2-OS	0.6486	fractals_experiment/blues/j5130.jpeg
234.0000	1.9500	Seq-1-4-AnA-OS	0.6041	animals/fox/024a.jpg
236.3500	1.9500	Seq-4-1-IS	0.5299	fractals_experiment/cyans/j6127.jpeg
238.7000	1.9500	Seq-4-2-IS	0.5971	fractals_experiment/purples/j4110.jpeg
241.0500	1.9500	Seq-4-3-IS	0.5205	fractals_experiment/browns/j5075.jpeg
243.4000	1.9500	Seq-4-4-ToB-IS	0.5702	tools/megaphone/059b.jpg
245.7500	1.9500	Seq-3-1-IS	0.8085	fractals_experiment/reds/j5085.jpeg
248.1000	1.9500	Seq-3-2-IS	0.5104	fractals_experiment/greys/j8118.jpeg
250.4500	1.9500	Seq-3-3-IS	0.1790	fractals_experiment/pinks/j2137.jpeg
252.8000	1.9500	Seq-3-4-ToA-IS	0.0620	tools/faucet/031a.jpg
255.1500	1.9500	NonSeq-4	1.1340	fractals_experiment/greens/j2082.jpeg
257.5000	1.9500	Seq-2-1-IS	0.6307	fractals_experiment/pinks/j7144.jpeg
259.8500	1.9500	Seq-2-2-IS	0.2500	fractals_experiment/blues/j5130.jpeg
262.2000	1.9500	Seq-2-3-IS	0.1872	fractals_experiment/greens/j6092.jpeg
264.5500	1.9500	Seq-2-4-AnB-IS	0.2889	animals/crab/133b.jpg
266.9000	1.9500	Seq-1-2-OS	0.5074	fractals_experiment/cyans/j8009.jpeg
269.2500	1.9500	NonSeq-5	0.5336	fractals_experiment/blues/j10051.jpeg
271.6000	1.9500	NonSeq-6	0.4898	fractals_experiment/yellows/j4081.jpeg
273.9500	1.9500	NonSeq-1	0.5520	fractals_experiment/browns/j10032.jpeg
276.3000	1.9500	Seq-1-3-OS	0.5426	fractals_experiment/reds/j8091.jpeg
278.6500	1.9500	NonSeq-AnB	0.5139	animals/frog/117a.jpg
281.0000	1.9500	NonSeq-ToA	0.5269	tools/hairdrier/072a.jpg
283.3500	1.9500	NonSeq-2	0.8030	fractals_experiment/purples/j4125.jpeg
285.7000	1.9500	NonSeq-3	0.5446	fractals_experiment/greys/j4029.jpeg
288.0500	1.9500	Seq-1-1-OS	0.6472	fractals_experiment/yellows/j5118.jpeg
290.4000	1.9500	Seq-2-1-IS	0.7130	fractals_experiment/pinks/j7144.jpeg
