onset	duration	trial_type	response_time	stim_file
8.4000	1.9500	Seq-2-2-OS	1.8619	fractals_experiment/blues/j5130.jpeg
10.7500	1.9500	NonSeq-2	0.6006	fractals_experiment/purples/j4125.jpeg
13.1000	1.9500	NonSeq-4	0.6711	fractals_experiment/greens/j2082.jpeg
15.4500	1.9500	Seq-2-4-AnA-OS	0.6092	animals/crab/1.28_crab2.jpg
17.8000	1.9500	Seq-4-1-OS	0.4925	fractals_experiment/cyans/j6127.jpeg
20.1500	1.9500	Seq-3-3-OS	0.6157	fractals_experiment/pinks/j2137.jpeg
22.5000	1.9500	NonSeq-6	0.5677	fractals_experiment/yellows/j4081.jpeg
24.8500	1.9500	Seq-2-3-OS	0.5595	fractals_experiment/greens/j6092.jpeg
27.2000	1.9500	Seq-1-1-OS	0.6036	fractals_experiment/yellows/j5118.jpeg
29.5500	1.9500	Seq-1-3-OS	0.6339	fractals_experiment/reds/j8091.jpeg
31.9000	1.9500	NonSeq-1	0.7298	fractals_experiment/browns/j10032.jpeg
34.2500	1.9500	Seq-3-4-ToA-OS	0.5319	tools/faucet/031a.jpg
36.6000	1.9500	NonSeq-AnA	0.5168	animals/frog/1.59_frog1.jpg
38.9500	1.9500	Seq-2-1-OS	0.563	fractals_experiment/pinks/j7144.jpeg
41.3000	1.9500	NonSeq-5	0.6688	fractals_experiment/blues/j10051.jpeg
43.6500	1.9500	NonSeq-ToA	0.5266	tools/hairdrier/072a.jpg
46.0000	1.9500	Seq-4-4-ToB-OS	1.2433	tools/megaphone/059b.jpg
48.3500	1.9500	Seq-3-1-OS	0.5571	fractals_experiment/reds/j5085.jpeg
50.7000	1.9500	Seq-1-4-AnA-OS	0.8848	animals/fox/024a.jpg
53.0500	1.9500	Seq-4-2-OS	0.637	fractals_experiment/purples/j4110.jpeg
55.4000	1.9500	Seq-1-2-OS	0.6298	fractals_experiment/cyans/j8009.jpeg
57.7500	1.9500	NonSeq-3	0.526	fractals_experiment/greys/j4029.jpeg
60.1000	1.9500	Seq-4-3-OS	0.5843	fractals_experiment/browns/j5075.jpeg
62.4500	1.9500	Seq-3-2-OS	0.6041	fractals_experiment/greys/j8118.jpeg
64.8000	1.9500	Seq-4-2-OS	0.5399	fractals_experiment/purples/j4110.jpeg
67.1500	1.9500	NonSeq-3	0.5837	fractals_experiment/greys/j4029.jpeg
69.5000	1.9500	Seq-3-3-OS	0.7708	fractals_experiment/pinks/j2137.jpeg
71.8500	1.9500	Seq-2-2-OS	1.2277	fractals_experiment/blues/j5130.jpeg
74.2000	1.9500	Seq-1-4-AnB-OS	0.7571	animals/fox/024b.jpg
76.5500	1.9500	NonSeq-1	0.5079	fractals_experiment/browns/j10032.jpeg
