onset	duration	trial_type	response_time	stim_file
8.4000	1.9500	Seq-2-3-OS	0.6963	fractals_experiment/cyans/j2132.jpeg
10.7500	1.9500	NonSeq-6	0.6148	fractals_experiment/purples/j3094.jpeg
13.1000	1.9500	Seq-1-3-OS	0.6196	fractals_experiment/blues/j1004.jpeg
15.4500	1.9500	Seq-1-2-OS	0.5896	fractals_experiment/greens/j6098.jpeg
17.8000	1.9500	NonSeq-AnA	0.6748	animals/cat/Object_0002.jpg
20.1500	1.9500	Seq-1-4-AnB-OS	0.5935	animals/elephant/1.07_elephant-asian.jpg
22.5000	1.9500	Seq-4-4-ToA-OS	0.5281	tools/whisk/102a.jpg
24.8500	1.9500	Seq-3-2-OS	0.8378	fractals_experiment/pinks/j2154.jpeg
27.2000	1.9500	Seq-2-2-OS	0.9560	fractals_experiment/yellows/j9081.jpeg
29.5500	1.9500	Seq-2-1-OS	0.5819	fractals_experiment/greys/j10148.jpeg
31.9000	1.9500	Seq-4-3-OS	0.6765	fractals_experiment/reds/j2003.jpeg
34.2500	1.9500	NonSeq-1	0.6700	fractals_experiment/greens/j2093.jpeg
36.6000	1.9500	Seq-1-1-OS	0.9398	fractals_experiment/cyans/j7082.jpeg
38.9500	1.9500	NonSeq-3	0.8094	fractals_experiment/pinks/j8014.jpeg
41.3000	1.9500	Seq-3-3-OS	0.6870	fractals_experiment/browns/j9039.jpeg
43.6500	1.9500	NonSeq-2	0.6111	fractals_experiment/browns/j10004.jpeg
46.0000	1.9500	NonSeq-5	0.6248	fractals_experiment/reds/j2059.jpeg
48.3500	1.9500	Seq-2-4-AnA-OS	0.7377	animals/rhino/1.80_rhino.jpg
50.7000	1.9500	Seq-3-4-ToB-OS	0.5346	tools/teakettle/102b.jpg
53.0500	1.9500	NonSeq-ToB	0.5901	tools/tongs/tongs02b.jpg
55.4000	1.9500	NonSeq-4	0.6467	fractals_experiment/greys/j2106.jpeg
57.7500	1.9500	Seq-4-2-OS	0.6073	fractals_experiment/purples/j7095.jpeg
60.1000	1.9500	Seq-3-1-OS	0.6770	fractals_experiment/yellows/j10075.jpeg
62.4500	1.9500	Seq-4-1-OS	0.6940	fractals_experiment/blues/j2153.jpeg
64.8000	1.9500	Seq-3-2-OS	0.6110	fractals_experiment/pinks/j2154.jpeg
67.1500	1.9500	Seq-3-1-OS	0.6261	fractals_experiment/yellows/j10075.jpeg
69.5000	1.9500	Seq-3-3-OS	0.6778	fractals_experiment/browns/j9039.jpeg
71.8500	1.9500	Seq-2-4-AnB-OS	0.6474	animals/rhino/Match_0382.jpg
74.2000	1.9500	Seq-2-1-OS	0.5449	fractals_experiment/greys/j10148.jpeg
76.5500	1.9500	Seq-4-2-OS	0.5779	fractals_experiment/purples/j7095.jpeg
78.9000	1.9500	Seq-2-3-OS	0.5872	fractals_experiment/cyans/j2132.jpeg
81.2500	1.9500	Seq-4-1-OS	0.4651	fractals_experiment/blues/j2153.jpeg
83.6000	1.9500	NonSeq-ToA	0.6954	tools/tongs/tongs02a.jpg
85.9500	1.9500	Seq-1-4-AnA-OS	0.5657	animals/elephant/038a.jpg
88.3000	1.9500	NonSeq-2	0.7054	fractals_experiment/browns/j10004.jpeg
90.6500	1.9500	NonSeq-1	0.5400	fractals_experiment/greens/j2093.jpeg
93.0000	1.9500	Seq-1-2-OS	0.5378	fractals_experiment/greens/j6098.jpeg
95.3500	1.9500	Seq-1-3-OS	0.7080	fractals_experiment/blues/j1004.jpeg
97.7000	1.9500	NonSeq-AnB	0.5640	animals/cat/cat.jpg
100.0500	1.9500	NonSeq-5	0.6024	fractals_experiment/reds/j2059.jpeg
102.4000	1.9500	Seq-4-3-OS	0.6065	fractals_experiment/reds/j2003.jpeg
104.7500	1.9500	NonSeq-6	0.6179	fractals_experiment/purples/j3094.jpeg
107.1000	1.9500	Seq-3-4-ToA-OS	0.5239	tools/teakettle/102a.jpg
109.4500	1.9500	NonSeq-3	0.6247	fractals_experiment/pinks/j8014.jpeg
111.8000	1.9500	NonSeq-4	0.8769	fractals_experiment/greys/j2106.jpeg
114.1500	1.9500	Seq-4-4-ToB-OS	0.5967	tools/whisk/whisk.jpg
116.5000	1.9500	Seq-2-2-OS	0.5991	fractals_experiment/yellows/j9081.jpeg
118.8500	1.9500	Seq-1-1-OS	0.6153	fractals_experiment/cyans/j7082.jpeg
121.2000	1.9500	Seq-1-1-IS	0.7630	fractals_experiment/cyans/j7082.jpeg
123.5500	1.9500	Seq-1-2-IS	0.5250	fractals_experiment/greens/j6098.jpeg
125.9000	1.9500	Seq-1-3-IS	0.1198	fractals_experiment/blues/j1004.jpeg
128.2500	1.9500	Seq-1-4-AnB-IS	0.0024	animals/elephant/1.07_elephant-asian.jpg
130.6000	1.9500	NonSeq-6	0.5593	fractals_experiment/purples/j3094.jpeg
132.9500	1.9500	Seq-4-1-OS	0.6523	fractals_experiment/blues/j2153.jpeg
135.3000	1.9500	Seq-3-1-IS	0.9435	fractals_experiment/yellows/j10075.jpeg
137.6500	1.9500	Seq-3-2-IS	0.0593	fractals_experiment/pinks/j2154.jpeg
140.0000	1.9500	Seq-3-3-IS	0.0879	fractals_experiment/browns/j9039.jpeg
142.3500	1.9500	Seq-3-4-ToB-IS	0.0023	tools/teakettle/102b.jpg
144.7000	1.9500	Seq-4-2-OS	0.8082	fractals_experiment/purples/j7095.jpeg
147.0500	1.9500	NonSeq-4	0.6235	fractals_experiment/greys/j2106.jpeg
149.4000	1.9500	NonSeq-AnB	0.5554	animals/cat/cat.jpg
151.7500	1.9500	NonSeq-5	0.5638	fractals_experiment/reds/j2059.jpeg
154.1000	1.9500	Seq-2-1-IS	0.6772	fractals_experiment/greys/j10148.jpeg
156.4500	1.9500	Seq-2-2-IS	0.0023	fractals_experiment/yellows/j9081.jpeg
158.8000	1.9500	Seq-2-3-IS	0.2536	fractals_experiment/cyans/j2132.jpeg
161.1500	1.9500	Seq-2-4-AnB-IS	0.2734	animals/rhino/Match_0382.jpg
163.5000	1.9500	NonSeq-ToA	0.5731	tools/tongs/tongs02a.jpg
165.8500	1.9500	Seq-4-4-ToA-OS	0.6421	tools/whisk/102a.jpg
168.2000	1.9500	NonSeq-2	0.5655	fractals_experiment/browns/j10004.jpeg
170.5500	1.9500	NonSeq-3	0.5274	fractals_experiment/pinks/j8014.jpeg
172.9000	1.9500	NonSeq-1	0.6175	fractals_experiment/greens/j2093.jpeg
175.2500	1.9500	Seq-4-3-OS	0.5216	fractals_experiment/reds/j2003.jpeg
177.6000	1.9500	Seq-2-1-IS	0.4580	fractals_experiment/greys/j10148.jpeg
179.9500	1.9500	Seq-2-2-IS	0.3266	fractals_experiment/yellows/j9081.jpeg
182.3000	1.9500	Seq-2-3-IS	0.3313	fractals_experiment/cyans/j2132.jpeg
184.6500	1.9500	Seq-2-4-AnA-IS	0.3324	animals/rhino/1.80_rhino.jpg
187.0000	1.9500	NonSeq-3	0.6290	fractals_experiment/pinks/j8014.jpeg
189.3500	1.9500	Seq-3-1-OS	0.6831	fractals_experiment/yellows/j10075.jpeg
191.7000	1.9500	Seq-4-1-IS	0.5759	fractals_experiment/blues/j2153.jpeg
194.0500	1.9500	Seq-4-2-IS	0.6056	fractals_experiment/purples/j7095.jpeg
196.4000	1.9500	Seq-4-3-IS	0.0023	fractals_experiment/reds/j2003.jpeg
198.7500	1.9500	Seq-4-4-ToA-IS	0.2280	tools/whisk/102a.jpg
201.1000	1.9500	NonSeq-5	0.7081	fractals_experiment/reds/j2059.jpeg
203.4500	1.9500	NonSeq-AnA	0.6072	animals/cat/Object_0002.jpg
205.8000	1.9500	Seq-3-2-OS	0.6192	fractals_experiment/pinks/j2154.jpeg
208.1500	1.9500	Seq-1-1-IS	0.5842	fractals_experiment/cyans/j7082.jpeg
210.5000	1.9500	Seq-1-2-IS	0.1759	fractals_experiment/greens/j6098.jpeg
212.8500	1.9500	Seq-1-3-IS	0.2529	fractals_experiment/blues/j1004.jpeg
215.2000	1.9500	Seq-1-4-AnA-IS	0.2759	animals/elephant/038a.jpg
217.5500	1.9500	NonSeq-6	0.5869	fractals_experiment/purples/j3094.jpeg
219.9000	1.9500	Seq-3-3-OS	0.6474	fractals_experiment/browns/j9039.jpeg
222.2500	1.9500	NonSeq-ToB	0.5896	tools/tongs/tongs02b.jpg
224.6000	1.9500	NonSeq-4	0.6631	fractals_experiment/greys/j2106.jpeg
226.9500	1.9500	NonSeq-2	0.5772	fractals_experiment/browns/j10004.jpeg
229.3000	1.9500	Seq-3-4-ToA-OS	0.5017	tools/teakettle/102a.jpg
