onset	duration	trial_type	response_time	stim_file
6.311388	8	novel	1.554	fractals_experiment/purples/j10064.jpeg
21.09384	4	novel	1.163	fractals_experiment/browns/j3042.jpeg
35.65952	4	trained_nonseq	0.955	fractals_experiment/reds/j2059.jpeg
43.92585	8	trained_inseq	1.803	fractals_experiment/cyans/j2132.jpeg
56.69153000000001	8	trained_inseq	1.682	fractals_experiment/pinks/j2154.jpeg
71.35783	12	trained_inseq	2.176	fractals_experiment/greys/j10148.jpeg
92.32354000000001	12	trained_nonseq	0.804	fractals_experiment/purples/j3094.jpeg
108.3896	4	trained_inseq	1.447	fractals_experiment/yellows/j9081.jpeg
119.2555	12	novel	2.009	fractals_experiment/greens/j7083.jpeg
138.9209	8	trained_inseq	1.054	fractals_experiment/yellows/j10075.jpeg
152.0864	4	trained_nonseq	1.816	fractals_experiment/pinks/j8014.jpeg
163.3528	12	trained_inseq	0.682	fractals_experiment/blues/j1004.jpeg
179.5186	4	trained_inseq	1.439	fractals_experiment/cyans/j7082.jpeg
195.6845	4	trained_inseq	1.718	fractals_experiment/blues/j2153.jpeg
206.9505	8	novel	1.927	fractals_experiment/purples/j10060.jpeg
222.4164	4	trained_inseq	1.489	fractals_experiment/greens/j6098.jpeg
230.4825	8	trained_inseq	1.088	fractals_experiment/reds/j2003.jpeg
243.2485	8	trained_nonseq	1.005	fractals_experiment/browns/j10004.jpeg
261.4144	12	trained_inseq	1.583	fractals_experiment/browns/j9039.jpeg
285.2792	12	trained_inseq	1.985	fractals_experiment/purples/j7095.jpeg
307.0619	12	trained_nonseq	1.822	fractals_experiment/greys/j2106.jpeg
323.2271	8	trained_nonseq	1.252	fractals_experiment/greens/j2093.jpeg
339.3938	4	novel	1.196	fractals_experiment/greens/j8017.jpeg
351.1595	12	novel	9999.0	fractals_experiment/purples/j8119.jpeg
