onset	duration	trial_type	response_time	stim_file
8.4000	1.9500	Seq-3-4-ToB-OS	0.7719	tools/colander/097b.jpg
10.7500	1.9500	Seq-3-3-OS	0.6370	fractals_experiment/browns/j9155.jpeg
13.1000	1.9500	Seq-2-4-AnA-OS	0.7815	animals/giraffe/1.03_giraffe.jpg
15.4500	1.9500	NonSeq-2	0.6373	fractals_experiment/reds/j3112.jpeg
17.8000	1.9500	NonSeq-ToB	0.5192	tools/eggbeater/187b.jpg
20.1500	1.9500	NonSeq-1	0.5615	fractals_experiment/cyans/j4053.jpeg
22.5000	1.9500	Seq-2-1-OS	0.7124	fractals_experiment/pinks/j7028.jpeg
24.8500	1.9500	Seq-3-1-OS	0.5112	fractals_experiment/reds/j10153.jpeg
27.2000	1.9500	Seq-1-2-OS	0.9099	fractals_experiment/yellows/j5099.jpeg
29.5500	1.9500	Seq-2-3-OS	0.5649	fractals_experiment/yellows/j1132.jpeg
31.9000	1.9500	NonSeq-4	0.6420	fractals_experiment/blues/j7053.jpeg
34.2500	1.9500	NonSeq-AnA	0.6004	animals/horse/horse copy.jpg
36.6000	1.9500	Seq-3-2-OS	0.6689	fractals_experiment/blues/j5081.jpeg
38.9500	1.9500	NonSeq-3	0.6328	fractals_experiment/greens/j6137.jpeg
41.3000	1.9500	Seq-2-2-OS	0.7172	fractals_experiment/greens/j4115.jpeg
43.6500	1.9500	Seq-1-3-OS	0.6848	fractals_experiment/pinks/j2031.jpeg
46.0000	1.9500	NonSeq-5	0.7710	fractals_experiment/purples/j1033.jpeg
48.3500	1.9500	Seq-1-1-OS	0.6611	fractals_experiment/browns/j9058.jpeg
50.7000	1.9500	Seq-4-2-OS	0.6117	fractals_experiment/cyans/j5086.jpeg
53.0500	1.9500	Seq-4-3-OS	0.8092	fractals_experiment/greys/j5125.jpeg
55.4000	1.9500	Seq-4-1-OS	0.8010	fractals_experiment/purples/j5024.jpeg
57.7500	1.9500	Seq-4-4-ToB-OS	1.4287	tools/wateringcan/042b.jpg
60.1000	1.9500	NonSeq-6	0.6511	fractals_experiment/greys/j7127.jpeg
62.4500	1.9500	Seq-1-4-AnB-OS	0.6453	animals/tiger/whitetiger.jpg
64.8000	1.9500	Seq-4-3-OS	0.6885	fractals_experiment/greys/j5125.jpeg
67.1500	1.9500	NonSeq-3	0.5122	fractals_experiment/greens/j6137.jpeg
69.5000	1.9500	NonSeq-AnB	0.6286	animals/horse/horse.jpg
71.8500	1.9500	Seq-4-4-ToA-OS	0.6309	tools/wateringcan/042a.jpg
74.2000	1.9500	Seq-1-2-OS	0.6618	fractals_experiment/yellows/j5099.jpeg
76.5500	1.9500	Seq-1-4-AnA-OS	0.9547	animals/tiger/0.89_cat-tigerwhite.jpg
78.9000	1.9500	NonSeq-1	0.5548	fractals_experiment/cyans/j4053.jpeg
81.2500	1.9500	Seq-4-2-OS	0.8305	fractals_experiment/cyans/j5086.jpeg
83.6000	1.9500	NonSeq-2	0.7202	fractals_experiment/reds/j3112.jpeg
85.9500	1.9500	Seq-3-1-OS	0.6648	fractals_experiment/reds/j10153.jpeg
88.3000	1.9500	Seq-2-2-OS	1.1611	fractals_experiment/greens/j4115.jpeg
90.6500	1.9500	Seq-2-3-OS	0.6496	fractals_experiment/yellows/j1132.jpeg
93.0000	1.9500	NonSeq-ToA	0.7004	tools/eggbeater/187a.jpg
95.3500	1.9500	Seq-3-4-ToA-OS	0.7448	tools/colander/097a.jpg
97.7000	1.9500	Seq-1-3-OS	0.7502	fractals_experiment/pinks/j2031.jpeg
100.0500	1.9500	NonSeq-6	0.6260	fractals_experiment/greys/j7127.jpeg
102.4000	1.9500	Seq-3-3-OS	0.5429	fractals_experiment/browns/j9155.jpeg
104.7500	1.9500	Seq-3-2-OS	0.6797	fractals_experiment/blues/j5081.jpeg
107.1000	1.9500	Seq-2-1-OS	0.8928	fractals_experiment/pinks/j7028.jpeg
109.4500	1.9500	NonSeq-4	0.7793	fractals_experiment/blues/j7053.jpeg
111.8000	1.9500	Seq-2-4-AnB-OS	0.6163	animals/giraffe/giraffe.jpg
114.1500	1.9500	NonSeq-5	0.6613	fractals_experiment/purples/j1033.jpeg
116.5000	1.9500	Seq-4-1-OS	0.5723	fractals_experiment/purples/j5024.jpeg
118.8500	1.9500	Seq-1-1-OS	0.5051	fractals_experiment/browns/j9058.jpeg
121.2000	1.9500	Seq-1-4-AnB-OS	0.9208	animals/tiger/whitetiger.jpg
123.5500	1.9500	Seq-4-1-IS	0.5831	fractals_experiment/purples/j5024.jpeg
125.9000	1.9500	Seq-4-2-IS	0.5695	fractals_experiment/cyans/j5086.jpeg
128.2500	1.9500	Seq-4-3-IS	0.6049	fractals_experiment/greys/j5125.jpeg
130.6000	1.9500	Seq-4-4-ToB-IS	0.6020	tools/wateringcan/042b.jpg
