onset	duration	trial_type	response_time	stim_file
8.4000	1.9500	NonSeq-5	0.6617	fractals_experiment/reds/j2059.jpeg
10.7500	1.9500	Seq-3-4-ToA-OS	0.5708	tools/teakettle/102a.jpg
13.1000	1.9500	NonSeq-4	0.6631	fractals_experiment/greys/j2106.jpeg
15.4500	1.9500	NonSeq-2	0.6209	fractals_experiment/browns/j10004.jpeg
17.8000	1.9500	Seq-2-1-IS	0.6747	fractals_experiment/greys/j10148.jpeg
20.1500	1.9500	Seq-2-2-IS	0.5862	fractals_experiment/yellows/j9081.jpeg
22.5000	1.9500	Seq-2-3-IS	0.6203	fractals_experiment/cyans/j2132.jpeg
24.8500	1.9500	Seq-2-4-AnA-IS	0.5395	animals/rhino/1.80_rhino.jpg
27.2000	1.9500	Seq-3-3-OS	0.6584	fractals_experiment/browns/j9039.jpeg
29.5500	1.9500	Seq-1-1-IS	0.5955	fractals_experiment/cyans/j7082.jpeg
31.9000	1.9500	Seq-1-2-IS	0.5208	fractals_experiment/greens/j6098.jpeg
34.2500	1.9500	Seq-1-3-IS	0.6271	fractals_experiment/blues/j1004.jpeg
36.6000	1.9500	Seq-1-4-AnA-IS	0.6108	animals/elephant/038a.jpg
38.9500	1.9500	NonSeq-1	0.5595	fractals_experiment/greens/j2093.jpeg
41.3000	1.9500	Seq-4-1-IS	0.5981	fractals_experiment/blues/j2153.jpeg
43.6500	1.9500	Seq-4-2-IS	0.5976	fractals_experiment/purples/j7095.jpeg
46.0000	1.9500	Seq-4-3-IS	0.5967	fractals_experiment/reds/j2003.jpeg
48.3500	1.9500	Seq-4-4-ToA-IS	0.5098	tools/whisk/102a.jpg
50.7000	1.9500	NonSeq-3	0.5322	fractals_experiment/pinks/j8014.jpeg
53.0500	1.9500	Seq-3-1-OS	0.6566	fractals_experiment/yellows/j10075.jpeg
55.4000	1.9500	NonSeq-AnA	0.6014	animals/cat/Object_0002.jpg
57.7500	1.9500	NonSeq-ToA	0.8860	tools/tongs/tongs02a.jpg
60.1000	1.9500	NonSeq-6	0.6516	fractals_experiment/purples/j3094.jpeg
62.4500	1.9500	Seq-3-2-OS	0.6007	fractals_experiment/pinks/j2154.jpeg
64.8000	1.9500	Seq-2-2-OS	0.6590	fractals_experiment/yellows/j9081.jpeg
67.1500	1.9500	NonSeq-3	0.5842	fractals_experiment/pinks/j8014.jpeg
69.5000	1.9500	Seq-3-1-IS	0.5442	fractals_experiment/yellows/j10075.jpeg
71.8500	1.9500	Seq-3-2-IS	0.5665	fractals_experiment/pinks/j2154.jpeg
74.2000	1.9500	Seq-3-3-IS	0.6305	fractals_experiment/browns/j9039.jpeg
76.5500	1.9500	Seq-3-4-ToA-IS	0.5503	tools/teakettle/102a.jpg
78.9000	1.9500	Seq-2-1-OS	0.7252	fractals_experiment/greys/j10148.jpeg
81.2500	1.9500	Seq-4-1-IS	0.5904	fractals_experiment/blues/j2153.jpeg
83.6000	1.9500	Seq-4-2-IS	0.6727	fractals_experiment/purples/j7095.jpeg
85.9500	1.9500	Seq-4-3-IS	0.6788	fractals_experiment/reds/j2003.jpeg
88.3000	1.9500	Seq-4-4-ToB-IS	0.5292	tools/whisk/whisk.jpg
90.6500	1.9500	Seq-2-4-AnB-OS	0.7195	animals/rhino/Match_0382.jpg
93.0000	1.9500	Seq-1-1-IS	0.6372	fractals_experiment/cyans/j7082.jpeg
