onset	duration	trial_type	response_time	stim_file
7.018723	12	trained_nonseq	0.902	fractals_experiment/reds/j2059.jpeg
27.4905	12	novel	1.957	fractals_experiment/greys/j2021.jpeg
44.93969	12	trained_inseq	1.234	fractals_experiment/browns/j9039.jpeg
67.68866	4	novel	1.739	fractals_experiment/cyans/j6127.jpeg
80.33838	12	trained_nonseq	2.06	fractals_experiment/pinks/j8014.jpeg
100.7869	4	trained_nonseq	1.386	fractals_experiment/greens/j2093.jpeg
114.6363	8	trained_inseq	1.318	fractals_experiment/purples/j7095.jpeg
127.1852	4	trained_inseq	1.797	fractals_experiment/yellows/j10075.jpeg
135.9281	12	trained_inseq	1.016	fractals_experiment/greens/j6098.jpeg
155.7678	4	trained_inseq	0.794	fractals_experiment/blues/j1004.jpeg
165.0166	4	novel	1.532	fractals_experiment/greys/j9121.jpeg
176.0662	4	trained_inseq	1.093	fractals_experiment/reds/j2003.jpeg
184.9091	8	trained_nonseq	1.468	fractals_experiment/purples/j3094.jpeg
200.4583	12	novel	1.979	fractals_experiment/reds/j2033.jpeg
217.7138	8	novel	1.691	fractals_experiment/purples/j10049.jpeg
237.0627	8	trained_inseq	1.624	fractals_experiment/greys/j10148.jpeg
249.1122	8	novel	1.846	fractals_experiment/cyans/j2084.jpeg
267.1613	8	trained_inseq	1.871	fractals_experiment/pinks/j2154.jpeg
282.1105	8	trained_nonseq	1.5	fractals_experiment/greys/j2106.jpeg
296.6531	12	trained_inseq	1.302	fractals_experiment/yellows/j9081.jpeg
319.692	12	trained_inseq	2.293	fractals_experiment/cyans/j2132.jpeg
335.8343	4	trained_inseq	1.019	fractals_experiment/cyans/j7082.jpeg
346.4743	8	trained_inseq	2.181	fractals_experiment/blues/j2153.jpeg
358.9233	4	trained_nonseq	1.413	fractals_experiment/browns/j10004.jpeg
